[' ',[u'chinese',[u'moroccan',[u'british',[u'greek',[u'russian',[u'southern_us',[u'irish',[u'mexican',[u'vietnamese',[u'brazilian',[u'japanese',[u'indian',[u'jamaican',[u'french',[u'spanish',[u'cajun_creole',[u'thai',[u'korean',[u'filipino',[u'italian',Max
 u'salt',907,414,407,572,289,2292,376,2742,264,194,422,1935,333,1203,461,747,396,253,421,3457,3457
 u'oliveoil',135,412,54,504,50,312,50,1289,38,118,57,359,66,516,387,316,114,36,48,3111,3111
 u'garliccloves',421,223,29,254,43,301,31,921,148,83,87,446,101,403,290,277,299,170,91,1619,1619
 u'gratedparmesancheese',3,3,7,33,0,82,4,33,1,12,5,1,2,74,6,38,1,0,1,1580,1580
 u'onions',280,280,142,185,145,482,132,1493,105,133,152,1195,173,368,253,529,167,208,310,1240,1493
 u'garlic',763,143,34,216,20,259,51,1317,239,82,166,726,139,214,128,370,414,303,325,1471,1471
 u'groundblackpepper',153,147,71,221,53,465,66,577,104,48,72,210,89,385,149,265,50,92,124,1444,1444
 u'extra',12,128,19,229,6,98,12,212,5,13,22,53,6,257,255,48,9,6,5,1364,1364
 u'virginoliveoil',12,128,19,229,6,98,12,206,5,13,22,54,6,257,257,47,9,4,5,1363,1363
 u'soysauce',1363,4,2,5,3,21,7,42,155,1,561,20,67,5,3,12,332,427,251,15,1363
 u'groundcumin',7,348,5,38,4,52,2,1346,8,20,17,683,20,15,55,40,50,0,7,30,1346
 u'butter',43,59,222,91,105,1266,221,379,11,49,70,273,63,515,45,335,24,8,60,1036,1266
 u'chilipowder',17,12,1,3,4,68,0,1236,3,3,35,485,10,4,16,65,33,12,3,26,1236
 u'purposeflour',129,44,238,100,123,1222,219,330,12,18,69,150,42,593,53,291,17,31,33,918,1222
 u'all',129,44,238,100,123,1222,219,330,12,18,69,150,42,593,53,291,17,31,33,918,1222
 u'jalapenochilies',20,2,1,2,2,107,2,1146,60,19,5,127,28,1,31,49,81,16,11,20,1146
 u'sourcream',3,1,20,16,117,117,19,1076,0,5,3,18,5,34,9,19,0,3,3,71,1076
 u'sugar',824,79,176,77,155,1054,120,343,344,69,401,335,80,637,129,119,330,266,136,760,1054
 u'water',762,182,109,143,111,688,96,907,227,87,384,821,153,440,158,280,310,242,310,1052,1052
 u'avocado',8,2,0,6,1,12,2,1044,11,10,58,2,6,3,20,3,12,1,3,25,1044
 u'pepper',158,94,88,203,59,553,87,806,71,56,62,205,125,209,133,189,81,99,199,965,965
 u'corntortillas',2,0,0,0,0,1,0,946,0,1,1,1,1,0,3,1,2,5,0,1,946
 u'salsa',1,1,0,0,0,8,1,923,0,7,0,2,1,0,6,2,2,1,0,8,923
 u'sesameoil',915,0,1,0,0,3,1,4,85,0,186,14,2,1,0,1,135,403,21,1,915
 u'cornstarch',906,0,32,10,8,153,12,56,49,8,90,43,11,90,17,28,71,33,57,83,906
 u'choppedcilantrofresh',54,122,0,6,0,31,2,906,61,12,12,239,7,6,40,4,164,7,0,25,906
 u'tomatoes',22,74,8,156,22,115,7,871,23,63,36,521,37,129,151,115,52,1,54,601,871
 u'garammasala',1,6,2,0,0,2,0,0,0,1,46,862,2,0,0,0,2,0,0,1,862
 u'flourtortillas',10,0,0,2,0,4,1,821,1,0,0,2,2,1,3,3,6,0,2,11,821
 u'blackbeans',5,0,0,0,0,8,0,811,0,36,1,1,12,1,3,7,1,1,4,5,811
 u'freshbasil',9,4,0,32,3,42,1,19,29,0,3,7,5,66,15,18,97,0,0,787,787
 u'vegetableoil',602,40,58,29,69,451,43,775,145,43,245,593,96,102,46,245,335,120,95,253,775
 u'largeeggs',145,22,110,72,85,746,77,189,14,18,75,26,14,415,116,83,64,35,17,625,746
 u'lime',30,3,2,1,0,24,2,732,97,89,12,80,49,5,15,6,269,3,15,5,732
 u'bakingpowder',52,9,122,37,35,729,112,171,8,14,39,47,38,58,10,33,5,5,28,186,729
 u'groundturmeric',6,72,3,5,0,12,0,10,18,4,33,728,13,2,3,1,32,0,5,2,728
 u'cuminseed',8,44,3,3,0,10,0,87,1,0,38,698,3,3,7,2,26,0,1,4,698
 u'drywhitewine',18,13,12,31,6,51,5,11,1,3,4,8,2,245,99,37,10,2,2,658,658
 u'koshersalt',185,92,60,85,22,351,33,601,89,22,80,251,33,153,120,105,83,72,21,657,657
 u'unsaltedbutter',25,43,191,59,93,655,87,156,10,23,18,67,19,592,42,119,8,4,7,564,655
 u'freshlimejuice',24,10,2,2,0,53,2,646,110,22,25,79,32,18,32,9,273,4,0,25,646
 u'milk',33,9,202,46,66,646,111,230,6,44,52,159,27,188,47,84,9,4,25,278,646
 u'greenonions',628,15,7,55,20,175,25,638,119,23,175,41,65,47,32,256,255,293,65,144,638
 u'blackpepper',121,92,31,89,35,271,44,385,51,20,29,161,103,172,71,170,37,81,29,636,636
 u'buttermilk',2,0,26,1,10,634,75,20,0,2,0,18,1,10,2,27,1,2,0,32,634
 u'freshparsley',7,87,20,113,20,124,40,55,2,18,3,19,2,166,100,193,3,0,1,631,631
 u'eggs',289,33,191,80,112,623,90,327,37,52,144,81,41,185,88,87,106,105,93,627,627
 u'driedoregano',1,8,4,267,0,40,0,518,0,9,0,1,4,26,35,162,3,0,3,626,626
